Open,Close.Last
14532.23,14510.3
14641.47,14592.21
14873.7,14765.94
15099.2,15011.35
15142.09,15095.14
15089.66,15099.18
15028.69,15074.57
15006.18,14992.97
14923.14,14963.87
14973.36,14777.94
14923.02,15003.22
14814.02,14905.19
14797.46,14813.92
14798.72,14761.56
14555.68,14733.96
14423.01,14533.4
14340.13,14432.49
14279.46,14403.97
14230.43,14339.99
14325.62,14146.71
14126.4,14229.91
14168.66,14185.49
14181.35,14305.03
14265.05,14226.22
14367.11,14258.49
14224.63,14281.76
14239.31,14241.02
14238.03,14250.85
14283.82,14265.86
14217.23,14199.98
14134.75,14284.53
14101.44,14125.48
14066.88,14113.67
14147.27,14103.84
14015.37,14094.38
13745.96,13767.74
13571.19,13798.11
13693.7,13521.45
13660.22,13650.41
13555.79,13639.86
13514.08,13518.78
13362.85,13478.28
13230.49,13294.19
12887.06,13061.47
12786.62,12851.24
12750.47,12789.48
12718.69,12643.01
12768.97,12595.61
13039.86,12821.22
13084.99,13139.87
12930.85,13018.33
13157.77,12983.81
13354.8,13186.18
13439.68,13314.3
13419.87,13533.75
13453.81,13567.98
13613.59,13407.23
13672.47,13574.22
13619.21,13659.68
13505.81,13562.84
13326.22,13484.24
13127.68,13431.34
13228.12,13219.83
13092.92,13236.01
13229.68,13059.47
13217.98,13307.77
13337.71,13219.32
13043.37,13201.28
13115.36,13092.85
13180.96,13063.61
13172.54,13271.32
13287.17,13211.81
13328.06,13223.98
13710.26,13469.13
13649.44,13678.19
13669.96,13710.24
13889.2,13708.33
13889.76,13926.05
13822.32,13813.59
13858.94,13773.61
13884.03,13917.89
13754.71,13761.53
13675.11,13748.83
13988.81,13872.47
13994.54,14020.95
14129.96,14031.81
14041.54,14034.97
13961.77,14019.31
13687.23,13943.76
13695.36,13705.13
13514.37,13590.65
13834.31,13463.97
13532.43,13721.03
13593.95,13505.87
13347.26,13497.59
13190.02,13290.78
13527.3,13316.93
13593.17,13474.63
13760.48,13631.05
13599,13788.33
13653.46,13644.85
13818.25,13737.99
13897.61,13722.02
13875.45,13884.32
13972.45,13994.4
14105.16,13909.24
13899.76,13959.72
14132.73,13973.45
14274.93,14283.91
14337.9,14346.02
14199.83,14316.66
14319.16,14050.11
14123.52,14127.28
14093.24,14144.56
14081.63,14058.87
14148.18,14032.81
14273.29,14063.31
14398.53,14358.02
14212.25,14353.64
14149.92,14244.95
14166.66,14113.7
14021.15,14138.57
13915.64,13918.96
13709.81,13760.7
13645.37,13685.48
13668.07,13660.72
13653.17,13679.04
13772.1,13791.65
13798.7,13816.77
13719.98,13787.92
13592.36,13591.33
13506.02,13591.75
13389.25,13555.67
13468.74,13335.78
13484.1,13492.52
13443.41,13630.61
13620.87,13502.2
13642.29,13667.29
13859.07,13689.57
13572.88,13782.82
13570.56,13626.48
13566.52,13573.32
13326.37,13461.92
13312.39,13259.14
13113.27,13238.52
13295.26,13104.89
13199.59,13276.42
13238.48,13229.43
13190.48,13240.77
12944.46,13100.98
12968.38,12935.29
13109.1,13017.43
12736.42,12975.69
12706.44,12698.09
12481.89,12484.16
12652.88,12560.25
12664.44,12720.78
12709.46,12657.9
12513.87,12688.84
12388.58,12500.57
12327.05,12343.05
12367.69,12365.21
12350.52,12284.74
12321.26,12328.51
12286.66,12306.44
12195.78,12179.55
12231.68,12256.92
12073.03,12235.41
11997.34,11966.4
12097.04,12025.33
12198.02,12080.51
12210.05,12212.6
12117.54,12226.58
11972.15,12142.24
11913.23,11854.35
11968.81,11799.16
12053.47,12037.2
12046.03,12072.46
12039.08,12059.56
12063.68,12157.23
12234.56,12153.41
12108.23,12157.72
12117.91,12123.47
11997.42,12166.27
12110.87,11929.34
12080.24,12031.88
11975.13,12084.35
11939.08,12087.96
12081.76,11996.86
12208.49,12126.33
12146.09,12189.45
12031.54,12221.91
12010.45,12013.47
11855.59,11926.24
11752.76,11716.08
11868.54,11768.84
11747.62,11823.96
11811.32,11787.4
11857.5,11669.96
11764.79,11860.11
11614.39,11675.54
11696.34,11630.51
11384.87,11717.28
11397.35,11434.05
11357.73,11428.15
11041.46,11188.84
11325.36,11138.89
11578.31,11338.35
11553.09,11576
11670.98,11530.33
11736.87,11675.74
11524.65,11689.01
11273.77,11462.98
11447.58,11379.48
11451.05,11455.54
11517.19,11466.98
11404.18,11394.94
11636.93,11590.4
